warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:2650/20000 train_loss:2.2309 train_time:1453507ms step_avg:548.49ms
step:2660/20000 train_loss:2.2519 train_time:1458991ms step_avg:548.49ms
step:2670/20000 train_loss:2.2236 train_time:1464475ms step_avg:548.49ms
step:2680/20000 train_loss:2.1526 train_time:1470001ms step_avg:548.51ms
step:2690/20000 train_loss:2.2553 train_time:1475485ms step_avg:548.51ms
step:2700/20000 train_loss:2.1711 train_time:1480969ms step_avg:548.51ms
step:2710/20000 train_loss:2.4032 train_time:1486452ms step_avg:548.51ms
step:2720/20000 train_loss:2.2354 train_time:1491937ms step_avg:548.51ms
step:2730/20000 train_loss:2.2160 train_time:1497421ms step_avg:548.51ms
step:2740/20000 train_loss:2.1899 train_time:1502906ms step_avg:548.51ms
step:2750/20000 train_loss:2.2356 train_time:1508390ms step_avg:548.51ms
step:2760/20000 train_loss:2.1818 train_time:1513874ms step_avg:548.51ms
step:2770/20000 train_loss:2.0653 train_time:1519358ms step_avg:548.50ms
step:2780/20000 train_loss:2.2796 train_time:1524842ms step_avg:548.50ms
step:2790/20000 train_loss:2.1915 train_time:1530325ms step_avg:548.50ms
step:2800/20000 train_loss:2.2260 train_time:1535809ms step_avg:548.50ms
step:2810/20000 train_loss:2.1941 train_time:1541293ms step_avg:548.50ms
step:2820/20000 train_loss:2.1871 train_time:1546777ms step_avg:548.50ms
step:2830/20000 train_loss:2.2521 train_time:1552262ms step_avg:548.50ms
step:2840/20000 train_loss:2.2022 train_time:1557746ms step_avg:548.50ms
step:2850/20000 train_loss:2.2144 train_time:1563230ms step_avg:548.50ms
step:2860/20000 train_loss:2.2484 train_time:1568715ms step_avg:548.50ms
step:2870/20000 train_loss:2.3717 train_time:1574200ms step_avg:548.50ms
step:2880/20000 train_loss:2.2162 train_time:1579685ms step_avg:548.50ms
step:2890/20000 train_loss:2.2122 train_time:1585169ms step_avg:548.50ms
step:2900/20000 train_loss:2.2024 train_time:1590653ms step_avg:548.50ms
step:2910/20000 train_loss:2.2455 train_time:1596138ms step_avg:548.50ms
step:2920/20000 train_loss:2.1283 train_time:1601621ms step_avg:548.50ms
step:2930/20000 train_loss:2.1345 train_time:1607107ms step_avg:548.50ms
step:2940/20000 train_loss:2.1796 train_time:1612591ms step_avg:548.50ms
step:2950/20000 train_loss:2.2282 train_time:1618075ms step_avg:548.50ms
step:2960/20000 train_loss:2.2067 train_time:1623559ms step_avg:548.50ms
step:2970/20000 train_loss:2.1343 train_time:1629043ms step_avg:548.50ms
step:2980/20000 train_loss:2.2500 train_time:1634526ms step_avg:548.50ms
step:2990/20000 train_loss:2.1971 train_time:1640009ms step_avg:548.50ms
step:3000/20000 train_loss:2.2057 train_time:1645493ms step_avg:548.50ms
step:3000/20000 val_loss:2.1927 val_bpb:1.2986 train_time:1645583ms step_avg:548.53ms
step:3010/20000 train_loss:2.1867 train_time:1650978ms step_avg:548.50ms
step:3020/20000 train_loss:2.1622 train_time:1656462ms step_avg:548.50ms
step:3030/20000 train_loss:2.1676 train_time:1661947ms step_avg:548.50ms
step:3040/20000 train_loss:2.2858 train_time:1667431ms step_avg:548.50ms
step:3050/20000 train_loss:2.2113 train_time:1672914ms step_avg:548.50ms
step:3060/20000 train_loss:2.1608 train_time:1678398ms step_avg:548.50ms
step:3070/20000 train_loss:2.2317 train_time:1683882ms step_avg:548.50ms
step:3080/20000 train_loss:2.1702 train_time:1689367ms step_avg:548.50ms
step:3090/20000 train_loss:2.1668 train_time:1694850ms step_avg:548.50ms
step:3100/20000 train_loss:2.2020 train_time:1700334ms step_avg:548.49ms
step:3110/20000 train_loss:2.1408 train_time:1705818ms step_avg:548.49ms
step:3120/20000 train_loss:2.1071 train_time:1711302ms step_avg:548.49ms
step:3130/20000 train_loss:2.1318 train_time:1716787ms step_avg:548.49ms
step:3140/20000 train_loss:2.2598 train_time:1722272ms step_avg:548.49ms
